nom;details;adresse;ville;longitude;latitude
LE CARRE ROUGE;Restaurant de spécialités;43 GRANDE RUE DES STUARTS;35120 DOL DE BRETAGNE;-1.7560607113509;48.549521514571
LE CHENE VERT;Brasserie;2 PLACE DU GENERAL DE GAULLE;35500 VITRE;-1.2113953;48.1227323
LE CINQUECENTO;Restaurant traditionnel;5 QUAI LAMENNAIS;35000 RENNES;-1.681011;48.10981954732
LE CITRUS;Restaurant traditionnel;14 B Rue Yves Verney;35800 DINARD;-2.0563491;48.6343495
LE CLOS SAINT MARTIN;Restaurant traditionnel;47 BOULEVARD DE LA LIBERTE;35600 REDON;-2.083373;47.6549806
LE COMPTOIR BREIZH CAFE;Restaurant traditionnel;6 RUE DE L ORME;35400 ST MALO;-2.0250149;48.6480729
LE COMPTOIR DE LA LICORNE;Brasserie;CENTRE COMMERCIAL ESSENTIEL;35730 PLEURTUIT;-2.0603751039995;48.579817891
LE CONGRÈS;Restaurant traditionnel;21 RUE SAINT MALO;35000 RENNES;-1.6808841407179;48.116789077991
LE COSY;Brasserie;9 B RUE DE PARIS;35510 CESSON SEVIGNE;-1.599805;48.1141275
LE COUP DE PINCEAU;Restaurant traditionnel;29 Boulevard Beaumont;35000 RENNES;-1.6744969;48.1038791
LE CREPE SHOW;Brasserie;1 place Guy la Chambre;35400 ST MALO;-2.0231638;48.6502506
LE FARFADET GOURMAND;Restaurant de spécialités;1 B BOULEVARD DU MARECHAL LECLERC;35300 FOUGERES;-1.204626;48.3515609
LE FOURNIL;Restaurant traditionnel;2 rue de la Quintaine;35560 LA FONTENELLE;-1.5034776;48.4674651
LE GLACIER RENNAIS;Snack (sur place);10 RUE DE LA VISITATION;35000 RENNES;-1.6790865;48.1141544
LE HANGAR;Restaurant traditionnel;LA CHENAIS;35550 PIPRIAC;-1.9622089097625;47.808129687863
LE HARICOT ROUGE;Restaurant traditionnel;10 Rue Baudrairie;35000 RENNES;-1.6785453;48.1105421
LE JARDIN DES SIMPLES;Chambre d'hôtes;2 ruelle Chanoine Descottes;35120 MONT DOL;-2.9326435;48.2020471
LE KABOUL RESTAURANT;Restaurant de spécialités;18 RUE DE TOULOUSE;35400 ST MALO;-2.0259544709996;48.646682647
LE KERCE-INE;Restaurant traditionnel;46 avenue du Maréchal Leclerc;35310 MORDELLES;-1.8460031439996;48.073955936
LE LANDRY RESTAURANT;Brasserie;167 Rue de Chateaugiron;35000 RENNES;-1.6432539;48.0980248
LE LOSANGE SARL;Restaurant traditionnel;14 RUE DU FOUR DE LA HOULE;35800 ST BRIAC SUR MER;-2.1339600549656;48.623085503462
LE MABILAY;Restaurant traditionnel;2 RUE DE LA MABILAIS;35000 RENNES;-1.6942603;48.1068653
LE MANOIR DE BELLE-NOË;Chambre d'hôtes;LA BELLE NOE;35120 DOL DE BRETAGNE;-1.7143735833298;48.530873852381
LE MILLESIM';Restaurant traditionnel;11 Rue des Cordiers;35400 ST MALO;-2.0240397;48.6483291
LE MOON;Restaurant traditionnel;4 AVENUE JEAN JANVIER;35000 RENNES;-1.6733607634023;48.107152330833
LE MÉKONG;Restaurant traditionnel;180 RUE DE FOUGERES;35700 RENNES;-1.6578412811472;48.124493811818
LE P'TIT EN K;Snack (sur place);3 B BOULEVARD VILLEBOIS MAREUIL;35160 MONTFORT SUR MEU;-1.9573413419412;48.139713
LE PANDA RÉPUBLIQUE;Restaurant traditionnel;1 RUE MARECHAL JOFFRE;35000 RENNES;-1.6778055;48.1093711
LE PASSENGER;Restaurant de spécialités;4 RUE DE LA HARPE;35400 ST MALO;-2.0265834122776;48.648217475178
LE PATIO;Restaurant traditionnel;4 Allée Morvan Lebesque;35700 RENNES;-1.6336457;48.1305944
