nom;details;adresse;ville;longitude;latitude
QUICK HAMBURGER RESTAURANT;Fast-food;LIEU DIT AUGE DE PIERRE;35760 ST GREGOIRE;-1.6926262816627;48.136069586851
QUICK HAMBURGER RESTAURANT;Fast-food;1 quai Lamennais;35000 Rennes;-1.6802171;48.109829
RESTAURANT JARDIN D'ASIE;Restaurant traditionnel;14 RUE DES COMPAGNONS D EMMAUS;35300 FOUGERES;-1.1854127514571;48.353590078279
RESTAURANT L'IMPREVU;Restaurant traditionnel;3 PLACE DE L EGLISE;35460 ST OUEN LA ROUERIE;-1.4416635;48.4626099
RESTAURANT LA BUTINAIS;Restaurant traditionnel;;35470 BAIN DE BRETAGNE;-1.732943;47.836846
RESTAURANT LA CHOPE;Restaurant traditionnel;3 Rue de la Chalotais;35000 RENNES;-1.6805368;48.1092942
RESTAURANT LA ROSE DES VENTS;Restaurant traditionnel;4 PLACE DE LA CROIX DU FIEF;35400 ST MALO;-2.0246056923366;48.649885040799
RESTAURANT LA TAVERNE DE LA MARINE;Restaurant traditionnel;2 place de Bretagne;35000 Rennes;-1.6846944;48.1095082
RESTAURANT LA VIEILLE AUBERGE;Restaurant traditionnel;la Vieille Auberge;35630 Hede;-1.802047;48.295423
RESTAURANT LE PORT DE ROCHE;Restaurant traditionnel;Port de Roche;35660 LANGON;-1.846006;47.739593
RESTAURANT LE SPINNAKER;Restaurant traditionnel;26 rue des Bas Sablons;35400 ST MALO;-2.0192675;48.6375085
RESTAURANT VIA PIZZA;Restaurant traditionnel;56 Rue de la Gare;35800 DINARD;-2.0645214;48.6306869
RESTAURANT VIA ROMA;Restaurant traditionnel;268 RUE DE FOUGERES;35700 RENNES;-1.6467625217843;48.128604999163
RESTAURANT "LES HALLES SAINT GREGOIRE";Restaurant traditionnel;6 BOULEVARD DE LA ROBIQUETTE;35760 ST GREGOIRE;-1.6928631419996;48.133305031
RESTAURANT A CONTRE COURANT;Restaurant traditionnel;3 Place du Calvaire;35260 CANCALE;-1.855893;48.6706893
RESTAURANT A LA BONNE FRANQUETTE;Restaurant traditionnel;6 rue Abbé Crublet;35680 Bais;-1.2892414;48.009929
RESTAURANT ADONIS;Restaurant traditionnel;17 RUE SAINT MALO;35000 RENNES;-1.6808815896474;48.116627863726
RESTAURANT AIGLE ROUGE;Snack (sur place);6 Allée de la Bourgonnette;35000 RENNES;-1.6343277;48.0952686
RESTAURANT AIGLE ROUGE;Restaurant de spécialités;6 ALLEE DE LA BOURGONNETTE;35000 RENNES;-1.6347334;48.0951623
RESTAURANT AJYS;Restaurant traditionnel;Camping du P'Tit Bois;35430 ST JOUAN DES GUERETS;-1.986336;48.609901
RESTAURANT ALADDIN;Restaurant de spécialités;36 Rue Vasselot;35000 RENNES;-1.6766867;48.1085148
RESTAURANT ALINEA RENNES CAP MALO;Restaurant traditionnel;LIEU DIT LE TIERCENDRE;35520 LA MEZIERE;-1.7519146029996;48.217556542
RESTAURANT AMIRAL;Restaurant traditionnel;GARE MARITIME DE LA BOURSE;35400 ST MALO;-2.0235099999999;48.6446
RESTAURANT ARRIBA PIZZA;Restaurant traditionnel;1 RUE DU CENTRE;35590 ST GILLES;-1.8296446629349;48.154149
RESTAURANT ATOUT COEUR;Restaurant traditionnel;2 Rue de Dol;35111 LA FRESNAIS;-1.8443719;48.588393
RESTAURANT AU CELLIER;Restaurant traditionnel;29 RUE VICTOR HUGO;35133 LANDEAN;-1.1524869476888;48.41390216986
RESTAURANT AU CHANT DE L ALOUETTE;Restaurant traditionnel;19 Rue du Châtelet;35560 BAZOUGES LA PEROUSE;-1.5744867;48.4250407
RESTAURANT AU COIN MALOUIN;Restaurant traditionnel;22 RUE DE LA HERSE;35400 ST MALO;-2.0248705109643;48.648498087426
RESTAURANT AU COMPOIR VENITIEN;Restaurant traditionnel;ALLEE MORVAN LEBESQUE;35700 RENNES;-1.6330275250968;48.131081353783
RESTAURANT AU GOUT DES HOTES;Restaurant traditionnel;8 PLACE RALLIER DU BATY;35000 RENNES;-1.6813592710197;48.112888746321
RESTAURANT AU GRE DES VENTS;Restaurant traditionnel;23 Rue du Port;35430 LA VILLE ES NONAIS;-1.96811;48.5367687
RESTAURANT AU JARDIN DU BOURG;Restaurant traditionnel;6 rue Duquesne;35260 CANCALE;-1.8508437;48.6765422
RESTAURANT AU P'TIT BOUCHON;Restaurant traditionnel;51 rue Georges Clémenceau;35400 St Malo;-2.0177472;48.6394649
RESTAURANT AU P'TIT CREUX;Restaurant de spécialités;17 PLACE SAINT MELAINE;35740 PACE;-1.7734708914825;48.147855830977
RESTAURANT AU PALAIS D'ASIE;Restaurant de spécialités;1 PLACE DU GRANIER;35135 CHANTEPIE;-1.6210273513763;48.087799794622
RESTAURANT AU PETIT GRENIER;Restaurant traditionnel;5 RUE DU CHAPITRE;35000 RENNES;-1.6821536122684;48.111039565641
RESTAURANT AU VIEUX SAFRAN;Restaurant traditionnel;2 QUAI GAMBETTA;35260 CANCALE;-1.85355;48.671195510964
RESTAURANT AU VIEUX VITRE;Restaurant traditionnel;1 RUE D EMBAS;35500 VITRE;-1.193324;48.13843
RESTAURANT AUX P'TITS OIGNONS;Restaurant traditionnel;rue Newton;35760 Montgermont;-1.7065412;48.1546078
RESTAURANT AVAL DOUAR;Restaurant traditionnel;14 Rue Georges Clémenceau;35400 ST MALO;-2.0182727;48.6399655
RESTAURANT BAILA PIZZA;Restaurant de spécialités;8 rue de la Briqueterie;35500 VITRE;-1.2102683;48.1093631
RESTAURANT BLOND CHICKEN COFFEE;Snack (sur place);13 Place du Colombier;35000 RENNES;-1.6787485;48.1048487
RESTAURANT BRASSERIE LA TETE NOIRE;Restaurant traditionnel;23 Place Aristide Briand;35300 FOUGERES;-1.2016616;48.3536694
RESTAURANT BRIOCHE DOREE;Fast-food;ZAC de la Giraudais;35740 Pace;-1.7681536;48.1411656
RESTAURANT BUFFALO GRILL;Restaurant traditionnel;ZAC LA RIGOURDIERE;35510 CESSON SEVIGNE;-1.5887375;48.1128589
RESTAURANT BUFFALO GRILL;Restaurant traditionnel;LIEU DIT LA QUEUE DE LOUP;35520 LA MEZIERE;-1.7298154;48.2049132
RESTAURANT BUFFALO GRILL;Restaurant traditionnel;5 RUE DES FRANCAIS LIBRES;35300 FOUGERES;-1.1797191;48.3460875
RESTAURANT BUFFALO GRILL;Restaurant traditionnel;BD JEAN BAPTISTE LELIEVRE;35600 REDON;-2.0676339;47.6718451
RESTAURANT BUFFALO GRILL;Restaurant traditionnel;LA VILLE ES MENIERS;35730 PLEURTUIT;-2.0638185;48.6174663
RESTAURANT BUFFALO GRILL;Restaurant traditionnel;12 IMPASSE DE LA PEUPLERAIE;35400 ST MALO;-1.9914459199996;48.624245804001
RESTAURANT CAFE LEFFE;Restaurant traditionnel;12 PLACE DE LA GARE;35000 RENNES;-1.6724003366611;48.104580530671
RESTAURANT CAFÉ SIMON;Restaurant traditionnel;2 RUE JACQUES CARTIER;35400 ST MALO;-2.0239566;48.649068
RESTAURANT CAP CHAUSEY;Restaurant traditionnel;5 Rue Eugène et Alfred Feyen;35260 CANCALE;-1.8685866;48.6789386
RESTAURANT CAP CHAUSEY;Restaurant traditionnel;5 RUE EUGENE ET ALFRED FEYEN;35260 CANCALE;-1.864805;48.678705758197
RESTAURANT CARTE SUR TABLE;Restaurant traditionnel;16 RUE DU BORD DE MER;35114 ST BENOIT DES ONDES;-1.8493359445148;48.618676646114
RESTAURANT CASA COSI;Restaurant traditionnel;43 Boulevard Douville;35400 ST MALO;-2.0082164;48.6308952
RESTAURANT CASTEL JHULY;Restaurant traditionnel;1 parc du Castel;35220 Chateaubourg;-1.414259;48.104509
RESTAURANT CHAWP SHOP;Restaurant de spécialités;13 RUE DE PENHOET;35000 RENNES;-1.6809153316694;48.113703701916
RESTAURANT CHEZ CARO;Restaurant traditionnel;1 Rue Saint-Louis;35000 RENNES;-1.6817102;48.1143635
RESTAURANT CHEZ JEAN-JEAN;Restaurant traditionnel;9 Place de la République;35800 DINARD;-2.0562148;48.6333822
RESTAURANT CHEZ JULIEN;Brasserie;6 place du Calvaire;35260 CANCALE;-1.8561416;48.6705785
RESTAURANT CHEZ KUB;Restaurant traditionnel;20 RUE DU CHAPITRE;35000 RENNES;-1.6829622398003;48.111126485429
RESTAURANT CHEZ LES GARCONS;Restaurant traditionnel;21 Rue du Chapitre;35000 RENNES;-1.6831164;48.1111056
RESTAURANT CHEZ LES GARÇONS;Restaurant traditionnel;8 RUE GEORGES DOTTIN;35000 RENNES;-1.6830898848174;48.111029245629
RESTAURANT CHEZ MA POMME;Restaurant traditionnel;6 RUE YVES VERNEY;35800 DINARD;-2.0557165695365;48.634664206503
RESTAURANT CHEZ MARGOT;Restaurant de spécialités;Centre Commercial Alma;35200 Rennes;-1.6654261;48.0906507
RESTAURANT CHEZ MICHEL;Restaurant de spécialités;124 Chaussée du Sillon;35400 ST MALO;-2.0051933;48.6553579
RESTAURANT CHEZ VICTOR;Restaurant traditionnel;8 QUAI THOMAS;35260 CANCALE;-1.8648049999999;48.678705758
RESTAURANT CHEZ ZANZAN;Restaurant traditionnel;13 Rue de Penhoët;35000 RENNES;-1.6809038;48.1137274
RESTAURANT COT' A L'OS;Brasserie;10 RUE DU BIGNON;35000 RENNES;-1.6356014686364;48.096745554533
RESTAURANT CREPE ET COQUILLAGE;Restaurant traditionnel;21 Quai Gambetta;35260 CANCALE;-1.8553212;48.6705623
RESTAURANT CULTUREL CHINOIS;Restaurant de spécialités;21 RUE DE REDON;35000 RENNES;-1.6908629239996;48.105122846
RESTAURANT CÔTÉ SOLEIL GRILL / PLANCHA;Restaurant traditionnel;2 B PLACE DE LA REPUBLIQUE;35800 DINARD;-2.0564314589996;48.633591437
RESTAURANT DAO VIEN;Restaurant de spécialités;11 rue des Bas Sablons;35400 St Malo;-2.0191367;48.637481
RESTAURANT DAO VIEN;Restaurant de spécialités;10 RUE DE LA BALUE;35400 ST MALO;-2.0053716826704;48.628939287235
RESTAURANT DE BRETAGNE;Restaurant traditionnel;10 PLACE DU PRESIDENT CARNOT;35300 FOUGERES;-1.2004542135726;48.355164733279
RESTAURANT DE L'ABBAYE;Snack (sur place);2 avenue du Chevalier Ponthus;35380 Paimpont;-2.173462;48.0186968
RESTAURANT DE LA GARE BRUZ;Restaurant traditionnel;43 AVENUE JULES TRICAULT;35170 BRUZ;-1.7497003099996;48.028221464
RESTAURANT DE LA MER;Restaurant traditionnel;23 RUE DE LA MAIRIE;35960 LE VIVIER SUR MER;-1.7748347642018;48.60298985333
RESTAURANT DE LA PLACE;Restaurant traditionnel;12 rue des Cordiers;35400 St Malo;-2.0242521;48.6482449
RESTAURANT DE LA RANCE;Restaurant traditionnel;7 Rue Saint-Guillaume;35730 PLEURTUIT;-2.0583444;48.5795872
RESTAURANT DEDE DI TREVI;Restaurant de spécialités;32 RUE SAINT MELAINE;35000 RENNES;-1.6762735058284;48.114819565641
RESTAURANT DEL ARTE;Restaurant de spécialités;LA GIRAUDAIS;35740 PACE;-1.7685980023135;48.139870407571
RESTAURANT DES LACS;Restaurant traditionnel;16 rue des Lacs;35500 Cornille;-1.307321;48.080276
RESTAURANT DES REMPARTS;Restaurant traditionnel;17 RUE JACQUES CARTIER;35400 ST MALO;-2.0234227220267;48.64985378712
RESTAURANT DJURDJURA CHEZ FERHAT;Restaurant de spécialités;3 rue de la Vieille Boucherie;35400 St Malo;-2.0256089;48.648356
RESTAURANT DU CASINO BARRIERE DINARD;Restaurant traditionnel;4 BOULEVARD WILSON;35800 DINARD;-2.0531548949996;48.635206946
RESTAURANT DU DINARD PLAGE;Restauration rapide;3-4 PLAGE DE L ECLUSE;35800 DINARD;-2.0567901;48.6371646
RESTAURANT DU PARC;Restaurant traditionnel;Rue du Pigeon Blanc;35133 LECOUSSE;-1.2281404;48.352588
RESTAURANT EL NEGOCIAN;Restaurant de spécialités;6 Rue du Pré Botté;35000 RENNES;-1.6795451;48.1093286
RESTAURANT ENVIE DE CREPES;Restaurant traditionnel;3 Boulevard Châteaubriand;35400 ST MALO;-1.9890355;48.6624265
RESTAURANT EPI C TOU;Restaurant traditionnel;1 Boulevard Châteaubriand;35400 ST MALO;-1.9889314;48.662442
RESTAURANT ERIK' S;Restaurant traditionnel;Camping le P Tit bois;35430 St Jouan Des Guerets;-1.986336;48.609901
RESTAURANT ESPACE BELLEVUE;Restaurant traditionnel;ZA de Bellevue les Rouaults;35310 Breal Sous Montfort;-1.864231;48.048439
RESTAURANT ET SERVICES D AUTOROUTES;Fast-food;ROUTE NATIONALE 12;35590 ST GILLES;-1.8297219609996;48.152950213001
RESTAURANT ETOILE DE SAINT MALO;Restaurant traditionnel;2 Boulevard de l' Espérance;35400 ST MALO;-1.99089;48.6487281
RESTAURANT EURASIE;Restaurant traditionnel;33 Rue Vasselot;35000 RENNES;-1.6771784;48.1086266
RESTAURANT FALAFEL;Restaurant traditionnel;16 RUE SAINT MALO;35000 RENNES;-1.6808228592821;48.115998
RESTAURANT FELIX;Restaurant traditionnel;16 RUE D ISLY;35000 RENNES;-1.6777320333255;48.106119520399
RESTAURANT FISH AND CHIPS;Snack (sur place);83 Boulevard de Rochebonne;35400 ST MALO;-1.9893109;48.6630877
RESTAURANT FLUNCH;Self-service, cafétéria (sur place);RUE JULES VALLES;35000 RENNES;-1.7074290278608;48.105332606771
RESTAURANT GARGANTUA;Restaurant traditionnel;28 RUE DU GENERAL LECLERC;35580 GUICHEN;-1.7961335568988;47.967739878989
RESTAURANT GLACES ET GOURMANDISES;Snack (sur place);2 B Rue du Maréchal Leclerc;35800 DINARD;-2.0535883;48.6349243
RESTAURANT GOURMET WOK;Restaurant traditionnel;Avenue du Commerce;35430 ST JOUAN DES GUERETS;-1.971003;48.6019997
RESTAURANT GRILL COURTEPAILLE;Restaurant traditionnel;64 RUE DE LA RIGOURDIERE;35510 CESSON SEVIGNE;-1.5759504;48.1166293
RESTAURANT GRILL COURTEPAILLE;Restaurant traditionnel;LIEU DIT AUGE DE PIERRE;35760 ST GREGOIRE;-1.683146;48.153561
RESTAURANT GRILL COURTEPAILLE;Restaurant traditionnel;BOULEVARD DE LA GIRAUDAIS;35740 PACE;-1.764857;48.1379914
RESTAURANT GRILL LA PALMERAIE;Restaurant traditionnel;6 ALLEE DES ROSIERS;35480 GUIPRY;-1.8433146833342;47.789537971695
RESTAURANT HANAKO SUSHI;Restaurant de spécialités;8 B BOULEVARD PIERRE LANDAIS;35500 VITRE;-1.2085512799065;48.120590514571
RESTAURANT HAO HENG;Restaurant traditionnel;9 Rue Garengeot;35500 VITRE;-1.212591;48.1244506
RESTAURANT HAPPY PIZZA;Restaurant de spécialités;36 B route nationale;35650 Le Rheu;-1.769382;48.0950878
RESTAURANT IKEA RENNES;Restaurant traditionnel;AVENUE DES TOUCHES;35743 PACE CEDEX;-1.7646628;48.1406216
RESTAURANT IL TOSCANO;Restaurant de spécialités;LIEU DIT LES CARREAUX;35520 LA MEZIERE;-1.7416134461702;48.211055536173
RESTAURANT ILE AUX GRILLADES;Restaurant traditionnel;15 Rue d' Enfer;35600 REDON;-2.0853721;47.6498516
RESTAURANT INDIA;Restaurant de spécialités;41 RUE SAINT GEORGES;35000 RENNES;-1.6754060954758;48.11192935054
RESTAURANT JARDIN DE CHINE;Restaurant de spécialités;;35520 LA MEZIERE;-1.754105;48.219363
RESTAURANT KER SUZANNE;Restaurant traditionnel;3 PLACE DU MARCHE AUX LEGUMES;35400 ST MALO;-2.0256033825957;48.647931653067
RESTAURANT KFC CESSON SEVIGNE;Fast-food;2 RUE DU TAILLIS;35510 CESSON SEVIGNE;-1.6225515759996;48.114672427
RESTAURANT L AUBERGE DU BLAVON;Restaurant traditionnel;;35137 BEDEE;-1.943328;48.179645
RESTAURANT L AVENTURE;Restaurant traditionnel;4 Rue Yves Verney;35800 DINARD;-2.0557272;48.6347536
RESTAURANT L ETAGE;Restaurant traditionnel;12 rue Rallier du Baty;35000 Rennes;-1.6813814;48.1128377
RESTAURANT L HERMINE;Restaurant traditionnel;lotissement beauregard;35660 RENAC;-1.9763046;47.7179314
RESTAURANT L INTRA-MUROS;Brasserie;31 AVENUE DE LA VARDE;35400 ST MALO;-1.9769985069996;48.681843569
RESTAURANT L IVY;Restaurant traditionnel;7 RUE DES AUGUSTINS;35500 VITRE;-1.2165283728347;48.124739257722
RESTAURANT L' ATYPIC;Restaurant de spécialités;14 Rue Yves Verney;35800 DINARD;-2.0561848;48.6343038
RESTAURANT L' EOLIENNE;Restaurant traditionnel;5 Rue du Lotier des Marais;35600 STE MARIE;-2.001438;47.694652
RESTAURANT L' OLIVETTO;Restaurant traditionnel;32 RUE DAUPHINE;35400 ST MALO;-2.018482290611;48.638768814877
RESTAURANT L'ABRI COTIER;Restaurant traditionnel;28 quai Gambetta;35260 Cancale;-1.8532684;48.6711965
RESTAURANT L'ABRI DES FLOTS;Restaurant traditionnel;6 place de la République;35800 Dinard;-2.0564531;48.6336659
RESTAURANT L'ABRI DES FREVES;Restaurant traditionnel;2 B Rue de la Plage;35120 CHERRUEIX;-1.7087044;48.6064877
RESTAURANT L'ABSINTHE;Restaurant traditionnel;1 RUE DE L ORME;35400 ST MALO;-2.0248389615818;48.648173461582
RESTAURANT L'ABSINTHE CAFE;Restaurant traditionnel;1 Rue de l' Orme;35400 ST MALO;-2.0247165;48.6481181
RESTAURANT L'ADRESSE;Restaurant traditionnel;32 Cours de la Vilaine;35510 CESSON SEVIGNE;-1.6073314;48.1159082
RESTAURANT L'ALBATROS;Snack (sur place);plage du Port Hue;35800 St Briac Sur Mer;-2.132691;48.619354
RESTAURANT L'AMARYLLIS;Restaurant traditionnel;8 rue de Dol;35960 Le Vivier Sur Mer;-1.7742477;48.6020681
RESTAURANT L'AMIDON;Restaurant traditionnel;64 RUE DE RENNES;35340 LIFFRE;-1.5110362;48.2132001
RESTAURANT L'AMIRAL;Restaurant traditionnel;2 BD DE LA TOUR D AUVERGNE;35000 RENNES;-1.6845351335045;48.108014329448
RESTAURANT L'ANGELUS;Restaurant traditionnel;12 RUE DE LA GROTTE;35134 COESMES;-1.4408525481562;47.882586268942
RESTAURANT L'ANTRE COTE;Restaurant traditionnel;9 Rue de Montigné;35132 VEZIN LE COQUET;-1.7434905;48.1057091
RESTAURANT L'ANTRE-COTE;Restaurant traditionnel;9 Rue de Montigné;35132 VEZIN LE COQUET;-1.7434905;48.1057091
RESTAURANT L'APPART DE LOIC;Restaurant traditionnel;67 T bd de la Tour d Auvergne;35000 Rennes;-1.6841523;48.1028634
RESTAURANT L'ARLEQUIN;Restaurant traditionnel;4 RUE DE PARIS;35330 MAURE DE BRETAGNE;-1.9903647886491;47.890749478216
RESTAURANT L'ARRIÈRE COUR;Restaurant traditionnel;18 quai gambetta;35260 CANCALE;-1.8548385709996;48.671016734
RESTAURANT L'ATELIER DES GOURMETS;Restaurant de spécialités;12 rue Nantaise;35000 Rennes;-1.6855125;48.1114586
RESTAURANT L'ATRE;Restaurant traditionnel;210 Route de Sainte-Foix;35000 RENNES;-1.669289;48.1114576
RESTAURANT L'ATRE;Restaurant traditionnel;7 esp du Commandant Menguy;35400 St Malo;-2.0229852;48.6353511
RESTAURANT L'AVIRON;Restaurant traditionnel;9 PLACE DU CALVAIRE;35260 CANCALE;-1.8563144192394;48.670436137111
RESTAURANT L'EMERAUDE DE LA BAIE;Restaurant traditionnel;25 rue de Saint-Malo;35120 St Broladre;-1.6554489;48.5874197
RESTAURANT L'ENTRE DEUX VERRES;Restaurant traditionnel;7 Rue des Grands Degrés;35400 ST MALO;-2.0237429;48.6484011
RESTAURANT L'ENTRE-DEUX;Restaurant traditionnel;LE RACHAPT;35240 MARCILLÉ-ROBERT;-1.359359;47.9455401
RESTAURANT L'ESCALE;Restaurant de spécialités;2 Quai Gambetta;35260 CANCALE;-1.8534764;48.6712533
RESTAURANT L'ESCALE DES BOUCHOTS;Restaurant traditionnel;22 RUE DU BOUT DE LA VILLE;35120 HIREL;-1.8260570430204;48.610317572855
RESTAURANT L'ESCAPADE;Restaurant traditionnel;2 Place du Souvenir;35350 ST MELOIR DES ONDES;-1.9045675;48.6371002
RESTAURANT L'ESPERANCE;Restaurant traditionnel;21 boulevard Rochers;35500 Vitre;-1.2054872;48.1206741
RESTAURANT L'ESTAMINETTES;Restaurant traditionnel;120 RUE DE LA PINTERIE;35300 FOUGERES;-1.2082696131277;48.354612885086
RESTAURANT L'EVENTAIL;Restaurant traditionnel;PORTE SAINT THOMAS;35400 ST MALO;-2.0242957349946;48.650755133235
RESTAURANT L'HACIENDA;Restaurant de spécialités;33 Rue des Douves;35600 REDON;-2.0864971;47.6493883
RESTAURANT L'HALTE GOURMANDE;Restaurant traditionnel;22 Place de la République;35300 FOUGERES;-1.1946774;48.3493297
RESTAURANT L'HIPPOCAMPE;Restaurant traditionnel;38 RUE DE LA FORET;35300 FOUGERES;-1.2002081071325;48.356169642795
RESTAURANT L'ITALIA TRATORIA;Restaurant de spécialités;32 Rue Saint-Georges;35000 RENNES;-1.675827;48.1118605
RESTAURANT L'O A LA BOUCHE;Restaurant de spécialités;1 RUE MICHEL DE LA BARDELIERE;35400 ST MALO;-1.9911498499754;48.635151927509
RESTAURANT L'OLIVIER;Restaurant traditionnel;60 CHAUSSEE DU SILLON;35400 ST MALO;-2.0118746;48.6531708
RESTAURANT L'ORANGERIE BIS;Restaurant traditionnel;ZI de l étang du Diable;35760 St Gregoire;-1.683146;48.153561
RESTAURANT L'OREE DU PARC;Restaurant traditionnel;L Oree du Parc;35190 Becherel;-1.945772;48.296455
RESTAURANT L'ORH-ANN;Restaurant traditionnel;Camping du Petit Bois;35430 ST JOUAN DES GUERETS;-1.986828;48.610756
RESTAURANT L'ORIGAN;Restaurant traditionnel;Rue de Rennes;35650 LE RHEU;-1.7819266;48.0976547
RESTAURANT L'OS OU L'ARETE;Restaurant traditionnel;21 RUE SAINT GEORGES;35000 RENNES;-1.6760039562871;48.11188435054
RESTAURANT L'OSMOSE;Restaurant traditionnel;39 RUE DES DOUVES;35600 REDON;-2.0866127559996;47.649209554
RESTAURANT L'UN DES SENS;Restaurant traditionnel;37 Rue de Dinard;35780 LA RICHARDAIS;-2.0330624;48.6049147
RESTAURANT LA BELLA ITALIA;Restaurant traditionnel;3 RUE DES ORBETTES;35400 ST MALO;-2.02412;48.6495002
RESTAURANT LA BELLE DE VILAINE;Restaurant traditionnel;les Nielles;35350 St Meloir Des Ondes;-1.8631714;48.630344
RESTAURANT LA BISQUINE;Restaurant gastronomique;21 rue Jacques Cartier;35400 St Malo;-2.0232621;48.6500742
RESTAURANT LA BOUCHERIE;Restaurant traditionnel;Parc Edonia;35760 ST GREGOIRE;-1.683146;48.153561
RESTAURANT LA BOUCHERIE;Restaurant traditionnel;31 COURS DE LA VILAINE;35510 CESSON SEVIGNE;-1.6098108635813;48.114563658607
RESTAURANT LA BOUCHERIE;Restaurant traditionnel;31 COURS DE LA VILAINE;35510 CESSON SEVIGNE;-1.6098108635813;48.114563658607
RESTAURANT LA BOUCHERIE SAINT-MALO;Restaurant traditionnel;Rue du Général Patton;35400 ST MALO;-1.9957813;48.622483
RESTAURANT LA BOURGONNETTE;Restaurant traditionnel;267 Rue de Châteaugiron;35000 RENNES;-1.6315042;48.0932583
RESTAURANT LA CABANE A HUITRES;Restaurant de spécialités;7 RUE ERNEST LAMORT;35260 CANCALE;-1.8623032857349;48.668250478216
RESTAURANT LA CALE;Restaurant traditionnel;5 Quai de Solidor;35400 ST MALO;-2.0227829;48.6354297
RESTAURANT LA CANTINA;Restaurant traditionnel;10 Rue Rallier du Baty;35000 RENNES;-1.6811765;48.1128627
RESTAURANT LA CANTINA;Restaurant de spécialités;21 BOULEVARD WILSON;35800 DINARD;-2.053323;48.63514954732
RESTAURANT LA CANTINE DE FRANÇOIS;Restaurant traditionnel;la Bretonnière;35220 CHATEAUBOURG;-1.3902834;48.1055335
RESTAURANT LA CANTINE DU CORSAIRE;Restaurant traditionnel;10 RUE DU PUITS AUX BRAIES;35400 ST MALO;-2.024793;48.648717
RESTAURANT LA CARIOCA;Restaurant traditionnel;11 AVENUE JEAN JANVIER;35000 RENNES;-1.673414100179;48.107616045242
RESTAURANT LA CASA;Restaurant de spécialités;29 Avenue Maréchal Leclerc;35310 MORDELLES;-1.8473249;48.0731127
RESTAURANT LA CASA;Restaurant de spécialités;29 RUE SAINT GEORGES;35000 RENNES;-1.6758464562871;48.11190235054
RESTAURANT LA CASA BORGHESE;Restaurant traditionnel;5 Avenue Edouard VII;35800 DINARD;-2.0578322;48.6333123
RESTAURANT LA CLOSERIE DES HORTENSIAS;Restaurant traditionnel;Haute Forêt;35310 Breal Sous Montfort;-1.858421;48.069258
RESTAURANT LA CONCHEE;Restaurant traditionnel;1 Rue des Orbettes;35400 ST MALO;-2.0237443;48.6494075
RESTAURANT LA COUR DU TEMPLE;Restaurant de spécialités;5 rue Châteaubriand;35270 Combourg;-1.7526887;48.4080625
RESTAURANT LA COURSIVE;Restaurant traditionnel;9 place de la République;35800 Dinard;-2.0562148;48.6333822
RESTAURANT LA CREMALLERE;Restaurant traditionnel;12 rue Saint-Pierre;35150 Janze;-1.4969331;47.9598573
RESTAURANT LA CREPERIE DU MARCHE;Restaurant de spécialités;1 AVENUE ALPHONSE LEGAULT;35170 BRUZ;-1.7461371268394;48.024880292256
RESTAURANT LA CUILLÈRE EN BOIS;Restaurant traditionnel;33 RUE DES DOUVES;35600 REDON;-2.0865283864621;47.6493739839
RESTAURANT LA DEMEURE D'OGUST;Restaurant traditionnel;LIEU DIT GOUAIRIERE;35630 HEDE;-1.76201;48.32053
RESTAURANT LA DENT CREUSE;Restaurant traditionnel;7 Place de la Poissonnerie;35400 ST MALO;-2.0245026;48.6498408
RESTAURANT LA DUCHESSE ANNE;Restaurant gastronomique;5 PLACE GUY LA CHAMBRE;35409 ST MALO CEDEX;-2.0232629691846;48.650415715794
RESTAURANT LA FABRIQUE SAINT GEORGES;Restaurant de spécialités;36 Rue Saint-Georges;35000 RENNES;-1.6757187;48.1118719
RESTAURANT LA FAVOLA;Restaurant traditionnel;35 Rue de Bray;35510 CESSON SEVIGNE;-1.6126818;48.1083119
RESTAURANT LA FELICITA;Restaurant traditionnel;25 RUE DE L ETANG AU DIABLE;35760 ST GREGOIRE;-1.6852971145118;48.136613012473
RESTAURANT LA FERME DES NIELLES;Snack (sur place);les Nielles;35350 ST MELOIR DES ONDES;-1.8631714;48.630344
RESTAURANT LA FERME DU LUGUEN;Restaurant traditionnel;LE HAUT LUGUEN;35330 MAURE DE BRETAGNE;-1.9504649624639;47.866324993744
RESTAURANT LA FLAMBEE;Restaurant traditionnel;22 AVENUE D ARMORIQUE;35830 BETTON;-1.6423577026083;48.182107368861
RESTAURANT LA FLAMBÉE;Restaurant de spécialités;22 AVENUE D ARMORIQUE;35830 BETTON;-1.6423461709996;48.182107189
RESTAURANT LA FLEUR DE SEL;Restaurant traditionnel;20 rue de l Eglise;35330 Maure De Bretagne;-1.9915905;47.8908106
RESTAURANT LA FONTAINE AUX PERLES;Restaurant gastronomique;96 RUE DE LA POTERIE;35200 RENNES;-1.6431425;48.0936018
RESTAURANT LA FORESTIERE;Restaurant de spécialités;boulevard de Saint-Cast;35800 St Lunaire;-2.1163957;48.6355026
RESTAURANT LA FORESTIERE;Restaurant de spécialités;192 Rue de Fougères;35700 RENNES;-1.6568463;48.1249347
RESTAURANT LA FOURCHETTE DE LEONIE;Restaurant traditionnel;4 PLACE DE LA ROULAIS;35400 ST MALO;-2.0125954067459;48.633745368861
RESTAURANT LA FREGATE;Restaurant traditionnel;6 place du Calvaire;35260 Cancale;-1.8561416;48.6705785
